amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
702-3995659-5989068	702-3995659-5989068	2025-03-21T16:20:20+00:00	2025-03-22T01:19:48+00:00	Shipped	Amazon	Amazon.com.mx			Standard	LUXRUG - Alfombra lavable de 8 x 10 pulgadas, para sala de estar, suave, clásico, botánica, floral, rosa, para recámara, niñas, ultra delgada, col	G24451-1-Pink--8x10-US-V1	B0DQ8SHCCL	Shipped	1	MXN	2305.38								HERMOSILLO	SONORA	83200	MX		false			false
702-8317092-1880241	702-8317092-1880241	2025-03-24T16:45:41+00:00	2025-03-25T06:45:00+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66								Woodbridge	Ontario	L4H 0E1	CA		false			false
701-5523128-4731468	701-5523128-4731468	2025-03-24T13:05:22+00:00	2025-03-25T01:47:59+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Be	G24267-5-Green-3x5-US-V1	B0DBVPWW8F	Shipped	1	CAD	63.21								Granby	Quebec	J2H 3A9	CA		false			false
701-8249836-3655404	701-8249836-3655404	2025-03-17T01:52:52+00:00	2025-03-18T05:16:32+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66								Calgary	Alberta	T2J 4Z3	CA		false			false
701-7439834-6120232	701-7439834-6120232	2025-03-16T21:25:41+00:00	2025-03-17T06:08:41+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66								Edmonton	Alberta	T6W5C8	CA		false			false
701-6028232-5427464	701-6028232-5427464	2025-03-12T11:46:03+00:00	2025-03-16T18:46:44+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-7-Black-3x5-US-V1	B0DBYP9F11	Shipped	1	CAD	53.66		9.45						Nigadoo	New Brunswick	E8K 3L9	CA		false			false
701-8252107-4716247	701-8252107-4716247	2025-03-08T07:19:59+00:00	2025-03-08T21:06:40+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Shipped	1	CAD	53.66								Vancouver	BC	V5T 3R7	CA		false			false
701-1823781-8751438	701-1823781-8751438	2025-03-03T17:03:18+00:00	2025-03-03T22:19:54+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Shipped	1	CAD	53.66								Calgary	Alberta	T2R 1N2	CA		false			false
701-2103512-9508259	701-2103512-9508259	2025-03-03T04:19:25+00:00	2025-03-04T07:28:09+00:00	Shipped	Amazon	Amazon.ca			Standard	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedr	N1338-3-Sage Green-3x5-US-V1	B0DBYMRB1C	Shipped	1	CAD	53.66								Mississauga	Ontario	L5M 4G1	CA		false			false
S01-3848665-1025104	rvUD8rqali	2025-03-25T15:42:50+00:00	2025-03-26T06:48:15+00:00	Shipping	Amazon	Non-Amazon			Standard	-	amzn.gr.G24268-7-Black-8x10-US-BESbfh-PO	B0DBY8NGRN	Unshipped	1															false			false
